CRASH_ID,SER_NO,CRASH_DT,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CRASH_HR_SHORT_DESC,CNTY_ID,CNTY_NM,CITY_SECT_ID,CITY_SECT_NM,URB_AREA_CD,URB_AREA_SHORT_NM,FC_CD,FC_SHORT_DESC,NHS_FLG,HWY_NO,HWY_SFX_NO,HWY_MED_NM,RDWY_NO,HWY_COMPNT_CD,HWY_COMPNT_SHORT_DESC,MLGE_TYP_CD,MLGE_TYP_SHORT_DESC,RD_CON_NO,LRS_VAL,LAT_DEG_NO,LAT_MINUTE_NO,LAT_SEC_NO,LONGTD_DEG_NO,LONGTD_MINUTE_NO,LONGTD_SEC_NO,LAT_DD,LONGTD_DD,SPECL_JRSDCT_ID,SPECL_JRSDCT_SHORT_DESC,JRSDCT_GRP_CD,JRSDCT_GRP_LONG_DESC,AGY_ST_NO,ST_FULL_NM,RECRE_RD_NM,ISECT_AGY_ST_NO,ISECT_ST_FULL_NM,ISECT_RECRE_RD_NM,ISECT_SEQ_NO,FROM_ISECT_DSTNC_QTY,CMPSS_DIR_CD,MP_NO,POST_SPEED_LMT_VAL,RD_CHAR_CD,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_CD,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,MEDN_TYP_CD,MEDN_TYP_SHORT_DESC,IMPCT_LOC_CD,CRASH_TYP_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_CD,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_CD,CRASH_SVRTY_SHORT_DESC,WTHR_COND_CD,WTHR_COND_SHORT_DESC,RD_SURF_COND_CD,RD_SURF_SHORT_DESC,LGT_COND_CD,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_CD,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,INVSTG_AGY_CD,INVSTG_AGY_SHORT_DESC,CRASH_EVNT_1_CD,CRASH_EVNT_1_SHORT_DESC,CRASH_EVNT_2_CD,CRASH_EVNT_2_SHORT_DESC,CRASH_EVNT_3_CD,CRASH_EVNT_3_SHORT_DESC,CRASH_CAUSE_1_CD,CRASH_CAUSE_1_SHORT_DESC,CRASH_CAUSE_2_CD,CRASH_CAUSE_2_SHORT_DESC,CRASH_CAUSE_3_CD,CRASH_CAUSE_3_SHORT_DESC,SCHL_ZONE_IND,WRK_ZONE_IND,ALCHL_INVLV_FLG,DRUG_INVLV_FLG,MJ_INVLV_FLG,CRASH_SPEED_INVLV_FLG,CRASH_HIT_RUN_FLG,POP_RNG_CD,POP_RNG_MED_DESC,RD_CNTL_CD,RD_CNTL_MED_DESC,RTE_TYP_CD,RTE_ID,RTE_NM,REG_ID,DIST_ID,SEG_MRK_ID,SEG_PT_LRS_MEAS,UNLOCT_FLG,CRASH_LAST_UD_DT,TOT_VHCL_CNT,TOT_FATAL_CNT,TOT_INJ_LVL_A_CNT,TOT_INJ_LVL_B_CNT,TOT_INJ_LVL_C_CNT,TOT_INJ_CNT,TOT_UNINJD_AGE00_04_CNT,TOT_UNINJD_PER_CNT,TOT_PED_CNT,TOT_PED_FATAL_CNT,TOT_PED_INJ_LVL_A_CNT,TOT_PED_INJ_CNT,TOT_PEDCYCL_CNT,TOT_PEDCYCL_FATAL_CNT,TOT_PEDCYCL_INJ_LVL_A_CNT,TOT_PEDCYCL_INJ_CNT,TOT_UNKNWN_CNT,TOT_UNKNWN_FATAL_CNT,TOT_UNKNWN_INJ_CNT,TOT_OCCUP_CNT,TOT_PER_INVLV_CNT,TOT_SFTY_EQUIP_USED_QTY,TOT_SFTY_EQUIP_UNUSED_QTY,TOT_SFTY_EQUIP_USE_UNKNWN_QTY,TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT,TOT_MCYCLST_FATAL_CNT,TOT_MCYCLST_INJ_LVL_A_CNT,TOT_MCYCLST_INJ_CNT,TOT_MCYCLST_UNHELMTD_FATAL_CNT,TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT,TOT_DRVR_AGE_01_20_CNT,LANE_RDWY_DPRT_CRASH_FLG
1775422,01064,02/11/18 00:00:00,02,11,2018,1,14,2P,26,Multnomah,245,Portland SE,57,PORTLAND UA,14,U PR-ART,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,30,16.47,-122,29,38.99,45.504575,-122.49416388888834,NA,NA,NA,NA,00614,SE DIVISION ST,NA,05162,SE 162ND AVE,NA,1,100,7,NA,NA,3,STRGHT,0,NA,NA,0,0,0,4,NA,0,NONE,08,C,S-STRGHT,5,SS-O,4,INJ,1,CLR,1,DRY,1,DAY,099,UNKNOWN,1,0,NONE,NA,NA,NA,NA,NA,NA,13,IMP LN C,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_120311,NA,0,10/30/19 17:21:04,2,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,1,0,0,0,0,0,0,0,N
1775431,00021,01/02/18 00:00:00,01,02,2018,3,11,11A,26,Multnomah,245,Portland SE,57,PORTLAND UA,16,U MN-ART,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,30,59.41,-122,39,27.75,45.516502777777,-122.657708333333,NA,NA,NA,NA,00226,SE BELMONT ST,NA,05008,SE 8TH AVE,NA,1,0,9,NA,NA,1,INTER,0,1,CROSS,0,0,0,NA,0,NA,NA,01,B,ANGL-OTH,6,TURN,4,INJ,1,CLR,1,DRY,1,DAY,004,STOP SIGN,1,5,NO RPT,NA,NA,NA,NA,NA,NA,03,PAS-STOP,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_115939,NA,0,10/30/19 17:21:03,2,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,1,0,0,0,0,0,0,0,N
1775439,01069,02/11/18 00:00:00,02,11,2018,1,08,8A,26,Multnomah,245,Portland SE,57,PORTLAND UA,14,U PR-ART,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,30,29.02,-122,37,21.77,45.508061111111,-122.62271388888867,NA,NA,NA,NA,01426,SE LINCOLN ST,NA,05039,SE 39TH AV/CESAR CHAVEZ,NA,1,0,9,NA,NA,1,INTER,0,1,CROSS,0,0,0,NA,0,NA,NA,01,H,O-1 L-TURN,6,TURN,4,INJ,1,CLR,1,DRY,1,DAY,001,TRF SIGNAL,1,5,NO RPT,NA,NA,NA,NA,NA,NA,02,NO-YIELD,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_118669,NA,0,10/30/19 17:21:04,3,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,N
1775479,01091,02/02/18 00:00:00,02,02,2018,6,09,9A,26,Multnomah,245,Portland SE,57,PORTLAND UA,16,U MN-ART,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,28,38.24,-122,30,49.53,45.477288888888665,-122.513758333333,NA,NA,NA,NA,00310,SE BARBARA WELCH RD,NA,00824,SE FOSTER RD,NA,1,151,7,NA,NA,3,STRGHT,0,NA,NA,0,0,0,2,NA,0,NONE,08,E,S-1STOP,3,REAR,4,INJ,3,RAIN,2,WET,1,DAY,099,UNKNOWN,1,0,NONE,NA,NA,NA,NA,NA,NA,07,TOO-CLOS,NA,NA,NA,NA,NA,1,0,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02C,58_199762,NA,0,10/30/19 17:21:04,2,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,N
1775486,00028,01/02/18 00:00:00,01,02,2018,3,12,12P,26,Multnomah,245,Portland SE,57,PORTLAND UA,14,U PR-ART,1,068,NA,CASCADE HWY NORTH,1,0,MN,0,R,NA,006800100S00,45,30,17.36,-122,34,43.25,45.504822222222,-122.57868055555467,NA,NA,NA,NA,00614,SE DIVISION ST,NA,05082,SE 82ND AVE,NA,1,NA,3,4.23999977,35,1,INTER,0,1,CROSS,0,0,0,NA,0,NA,NA,06,3,PED,0,PED,4,INJ,1,CLR,1,DRY,1,DAY,001,TRF SIGNAL,1,0,NONE,NA,NA,NA,NA,NA,NA,02,NO-YIELD,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,"Over 200,000",2,PORTLAND HWY SYSTEM,OR,213,OR 213,1,02B,293_21402,NA,0,10/30/19 17:21:03,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,N
1775495,00037,01/02/18 00:00:00,01,02,2018,3,09,9A,26,Multnomah,245,Portland SE,57,PORTLAND UA,16,U MN-ART,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,29,39.99,-122,32,15.63,45.49444166666633,-122.53767499999934,NA,NA,NA,NA,00287,SE BUSH ST,NA,05122,SE 122ND AVE,NA,1,0,9,NA,NA,1,INTER,0,1,CROSS,0,0,0,NA,0,NA,NA,02,B,ANGL-OTH,1,ANGL,4,INJ,2,CLD,1,DRY,1,DAY,004,STOP SIGN,1,3,CITY,057,STOPSIGN,058,OTH SIGN,NA,NA,02,NO-YIELD,03,PAS-STOP,NA,NA,0,0,0,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_500444,NA,0,10/30/19 17:21:03,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,N
1775530,01111,02/08/18 00:00:00,02,08,2018,5,17,5P,26,Multnomah,245,Portland SE,57,PORTLAND UA,17,U MJ-COL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,30,19.34,-122,34,54.86,45.505372222222,-122.58190555555467,NA,NA,NA,NA,00614,SE DIVISION ST,NA,05079,SE 79TH AVE,NA,1,0,3,NA,NA,1,INTER,0,3,3-LEG,0,0,0,NA,0,NA,NA,05,3,PED,0,PED,4,INJ,2,CLD,2,WET,2,DLIT,004,STOP SIGN,1,3,CITY,NA,NA,NA,NA,NA,NA,19,NT VISBL,NA,NA,NA,NA,0,0,0,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_119684,NA,0,10/30/19 17:21:04,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,N
1775595,01117,02/12/18 00:00:00,02,12,2018,2,15,3P,26,Multnomah,245,Portland SE,57,PORTLAND UA,16,U MN-ART,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,29,4.8,-122,36,31.46,45.484666666666335,-122.608738888888,NA,NA,NA,NA,02260,SE STEELE ST,NA,05052,SE 52ND AVE,NA,1,0,1,NA,NA,1,INTER,0,4,4-LEG,0,0,0,NA,0,NA,NA,06,F,S-OTHER,3,REAR,4,INJ,1,CLR,1,DRY,1,DAY,001,TRF SIGNAL,1,0,NONE,004,INDRCT PED,NA,NA,NA,NA,07,TOO-CLOS,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,"Over 200,000",1,PORTLAND CITY STREET,NA,NA,NA,1,02B,58_125711,NA,0,10/30/19 17:21:04,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,N
1775664,01020,02/09/18 00:00:00,02,09,2018,6,11,11A,26,Multnomah,245,Portland SE,57,PORTLAND UA,14,U PR-ART,1,026,NA,MT. HOOD,1,0,MN,0,R,NA,002600100S00,45,29,56.11,-122,30,49.77,45.49891944444433,-122.513825,NA,NA,NA,NA,01940,SE POWELL BLVD,NA,05145,SE 145TH AVE,NA,1,NA,3,8.3999996199999991,35,1,INTER,0,3,3-LEG,0,0,0,NA,0,NA,NA,06,G,O-STRGHT,4,SS-M,4,INJ,1,CLR,1,DRY,1,DAY,004,STOP SIGN,1,5,NO RPT,013,FORCED,NA,NA,NA,NA,05,LEFT-CTR,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,"Over 200,000",2,PORTLAND HWY SYSTEM,US,26,US 26,1,02B,293_17372,NA,0,10/30/19 17:21:04,3,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,N
1775672,00110,01/05/18 00:00:00,01,05,2018,6,14,2P,26,Multnomah,245,Portland SE,57,PORTLAND UA,11,U INTRST,1,064,NA,EAST PORTLAND FREEWAY,2,0,MN,0,R,NA,006400200S00,45,31,20.69,-122,33,55.85,45.522413888888664,-122.565513888888,NA,NA,NA,NA,00745,EAST PORTLAND FY,NA,09727,SB EF GLSN-STARK C8,NA,1,NA,1,20.8799992,55,3,STRGHT,0,NA,NA,0,0,0,6,NA,1,RSDMD,06,E,S-1STOP,3,REAR,4,INJ,2,CLD,1,DRY,1,DAY,017,MEDIAN BAR,1,5,NO RPT,NA,NA,NA,NA,NA,NA,29,F AVOID,NA,NA,NA,NA,NA,NA,0,0,0,0,0,9,"Over 200,000",2,PORTLAND HWY SYSTEM,IS,205,I-205,1,02B,293_5896,NA,0,10/30/19 17:21:03,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,N
